scenario,backend,queues,pps_per_queue,ring,run,published,observed,gaps,achieved_mpps,copy_us,poll_period_us,cores_poll,cores_prod,cores_other
paced,gpu,4,50000,1024,1,363008,363008,0,0.180,,,0.000,3.904,0.000
paced,gpu,4,50000,1024,2,360809,360809,0,0.180,,,0.000,3.848,0.000
paced,gpu,4,50000,1024,3,358720,358720,0,0.178,,,0.000,3.948,0.000
paced,gpu,4,50000,1024,4,400080,400080,0,0.200,,,0.000,3.861,0.000
unpaced,gpu,4,0,64,0,49920,49920,0,0.050,,,0.000,3.892,0.000
unpaced,gpu,4,0,64,1,2843968,2843968,0,2.840,,,0.000,3.870,0.000
unpaced,gpu,4,0,64,2,2327808,2327808,0,2.320,,,0.000,3.932,0.000
unpaced,gpu,4,0,64,3,1776322,1776322,0,1.767,,,0.000,3.622,0.000
unpaced,gpu,4,0,64,4,2363968,2363968,0,2.357,,,0.000,3.269,0.000
paced,cpu,4,50000,1024,0,399860,399860,0,0.200,,,2.274,2.187,0.000
paced,cpu,4,50000,1024,1,399837,399837,0,0.199,,,2.513,1.499,0.000
paced,cpu,4,50000,1024,2,400233,400233,0,0.200,,,1.805,1.705,0.000
paced,cpu,4,50000,1024,3,399799,399799,0,0.200,,,1.717,1.699,0.000
paced,cpu,4,50000,1024,4,399737,399737,0,0.200,,,2.449,1.812,0.000
unpaced,cpu,4,0,64,0,12906300,12906300,0,12.891,,,1.449,2.298,0.000
unpaced,cpu,4,0,64,1,15443767,15443767,0,15.393,,,2.136,1.515,0.000
unpaced,cpu,4,0,64,2,17103443,17103443,0,17.103,,,1.811,2.311,0.000
unpaced,cpu,4,0,64,3,20917873,20917873,0,20.892,,,2.692,2.044,0.000
unpaced,cpu,4,0,64,4,14026554,14026554,0,13.971,,,1.819,1.994,0.000
paced,gpu,5,50000,1024,0,445013,445013,0,0.221,,,0.000,3.305,0.000
paced,gpu,5,50000,1024,1,352505,352505,0,0.175,,,0.000,4.223,0.000
paced,gpu,5,50000,1024,2,350542,350542,0,0.174,,,0.000,4.160,0.000
paced,gpu,5,50000,1024,3,355758,355758,0,0.176,,,0.000,4.129,0.000
paced,gpu,5,50000,1024,4,500215,500215,0,0.250,,,0.000,3.865,0.000
unpaced,gpu,5,0,64,0,62336,62336,0,0.062,,,0.000,4.742,0.000
unpaced,gpu,5,0,64,1,1958657,1958657,0,1.944,,,0.000,4.683,0.000
unpaced,gpu,5,0,64,2,2508481,2508481,0,2.494,,,0.000,4.518,0.000
unpaced,gpu,5,0,64,3,1854785,1854785,0,1.844,,,0.000,4.159,0.000
unpaced,gpu,5,0,64,4,2700929,2700929,0,2.688,,,0.000,3.317,0.000
paced,cpu,5,50000,1024,0,501053,501053,0,0.250,,,2.086,2.478,0.000
paced,cpu,5,50000,1024,1,499552,499552,0,0.250,,,1.643,1.536,0.000
paced,cpu,5,50000,1024,2,500697,500697,0,0.250,,,1.630,1.786,0.000
paced,cpu,5,50000,1024,3,498979,498979,0,0.249,,,2.347,1.818,0.000
paced,cpu,5,50000,1024,4,500135,500135,0,0.250,,,1.790,1.896,0.000
unpaced,cpu,5,0,64,0,7517825,7517825,0,7.490,,,1.622,1.857,0.000
unpaced,cpu,5,0,64,1,9728329,9728329,0,9.705,,,2.121,1.402,0.000
unpaced,cpu,5,0,64,2,10695783,10695783,0,10.642,,,2.048,1.948,0.000
unpaced,cpu,5,0,64,3,21985770,21985770,0,21.919,,,2.622,3.009,0.000
unpaced,cpu,5,0,64,4,21655973,21655973,0,21.632,,,2.709,2.672,0.000
copy,gpu,1,50000,1024,0,100006,100006,0,0.050,5.977,1.405,0.000,0.987,0.000
copy,gpu,1,50000,1024,1,100004,100004,0,0.050,5.670,1.417,0.000,1.000,0.000
copy,gpu,1,50000,1024,2,100006,100006,0,0.050,5.594,1.411,0.000,0.981,0.000
copy,gpu,1,50000,1024,3,100004,100004,0,0.050,5.420,1.421,0.000,0.993,0.000
copy,gpu,1,50000,1024,4,100006,100006,0,0.050,6.309,1.412,0.000,0.987,0.000
copy,gpu,2,50000,1024,0,200010,200010,0,0.100,5.696,,0.000,1.999,0.000
copy,gpu,2,50000,1024,1,200010,200010,0,0.100,5.657,,0.000,1.987,0.000
copy,gpu,2,50000,1024,2,200012,200012,0,0.100,5.585,,0.000,1.987,0.000
copy,gpu,2,50000,1024,3,200011,200011,0,0.100,5.792,,0.000,1.987,0.000
copy,gpu,2,50000,1024,4,200012,200012,0,0.100,5.980,,0.000,1.981,0.000
copy,gpu,3,50000,1024,0,300021,300021,0,0.150,5.735,,0.000,2.974,0.000
copy,gpu,3,50000,1024,1,300025,300025,0,0.150,5.842,,0.000,2.974,0.000
copy,gpu,3,50000,1024,2,300021,300021,0,0.150,5.875,,0.000,2.980,0.000
copy,gpu,3,50000,1024,3,300013,300013,0,0.150,6.215,,0.000,2.986,0.000
copy,gpu,3,50000,1024,4,300012,300012,0,0.150,5.627,,0.000,2.980,0.000
copy,gpu,4,50000,1024,0,400033,400033,0,0.200,5.721,,0.000,3.986,0.000
copy,gpu,4,50000,1024,1,400028,400028,0,0.200,5.884,,0.000,3.979,0.000
copy,gpu,4,50000,1024,2,400031,400031,0,0.200,6.378,,0.000,3.979,0.000
copy,gpu,4,50000,1024,3,400027,400027,0,0.200,5.951,,0.000,3.996,0.000
copy,gpu,4,50000,1024,4,400032,400032,0,0.200,5.578,,0.000,3.973,0.000
copy,gpu,5,50000,1024,0,500045,500045,0,0.250,5.887,,0.000,4.979,0.000
copy,gpu,5,50000,1024,1,500041,500041,0,0.250,7.243,,0.000,4.973,0.000
copy,gpu,5,50000,1024,2,500046,500046,0,0.250,6.004,,0.000,4.966,0.000
copy,gpu,5,50000,1024,3,500047,500047,0,0.250,5.902,,0.000,4.997,0.000
copy,gpu,5,50000,1024,4,500044,500044,0,0.250,5.977,,0.000,4.967,0.000
